# Time Enstrophy
0.000000000000000000e+00 3.749920434940907099e-01
7.031250000000000173e-03 3.749879489115562903e-01
1.406250000000000035e-02 3.749877157029383179e-01
2.109375000000000139e-02 3.749913434873213824e-01
2.812500000000000069e-02 3.749988320570625255e-01
3.515625000000000000e-02 3.750101813776249848e-01
4.218750000000000278e-02 3.750253915874005584e-01
4.921874999999999861e-02 3.750444629975190902e-01
5.625000000000000139e-02 3.750673960916459104e-01
6.328124999999999722e-02 3.750941915257689496e-01
7.031250000000000000e-02 3.751248501279714764e-01
7.734375000000000278e-02 3.751593728981955089e-01
8.437500000000000555e-02 3.751977610079918479e-01
9.140625000000000833e-02 3.752400158002590080e-01
9.843749999999999722e-02 3.752861387889704359e-01
1.054687500000000000e-01 3.753361316588902374e-01
1.125000000000000028e-01 3.753899962652774702e-01
1.195312500000000056e-01 3.754477346335794996e-01
1.265624999999999944e-01 3.755093489591132538e-01
1.335937500000000111e-01 3.755748416067360429e-01
1.406250000000000000e-01 3.756442151105054972e-01
1.476562500000000167e-01 3.757174721733277933e-01
1.546875000000000056e-01 3.757946156665962212e-01
1.617187499999999944e-01 3.758756486298185373e-01
1.687500000000000111e-01 3.759605742702335496e-01
1.757812500000000000e-01 3.760493959624178761e-01
1.828125000000000167e-01 3.761421172478830455e-01
1.898437500000000056e-01 3.762387418346613277e-01
1.968749999999999944e-01 3.763392735968825731e-01
2.039062500000000111e-01 3.764437165743409475e-01
2.109375000000000000e-01 3.765520749720526750e-01
2.179687500000000167e-01 3.766643531598046213e-01
2.250000000000000056e-01 3.767805556716924409e-01
2.320312499999999944e-01 3.769006872056509527e-01
2.390625000000000111e-01 3.770247526229759671e-01
2.460937500000000000e-01 3.771527569478365649e-01
2.531249999999999889e-01 3.772847053667794937e-01
2.601562500000000333e-01 3.774206032282257928e-01
2.671875000000000222e-01 3.775604560419594802e-01
2.742187500000000111e-01 3.777042694786074684e-01
2.812500000000000000e-01 3.778520493691130411e-01
2.882812499999999889e-01 3.780038017042016696e-01
2.953125000000000333e-01 3.781595326338407226e-01
3.023437500000000222e-01 3.783192484666906275e-01
3.093750000000000111e-01 3.784829556695503694e-01
3.164062500000000000e-01 3.786506608667972174e-01
3.234374999999999889e-01 3.788223708398193446e-01
3.304687500000000333e-01 3.789980925264433420e-01
3.375000000000000222e-01 3.791778330203550151e-01
3.445312500000000111e-01 3.793615995705167943e-01
3.515625000000000000e-01 3.795493995805776510e-01
3.585937499999999889e-01 3.797412406082801284e-01
3.656250000000000333e-01 3.799371303648607645e-01
3.726562500000000222e-01 3.801370767144486851e-01
3.796875000000000111e-01 3.803410876734572010e-01
3.867187500000000000e-01 3.805491714099746847e-01
3.937499999999999889e-01 3.807613362431478410e-01
4.007812500000000333e-01 3.809775906425660885e-01
4.078125000000000222e-01 3.811979432276388913e-01
4.148437500000000111e-01 3.814224027669733674e-01
4.218750000000000000e-01 3.816509781777468469e-01
4.289062499999999889e-01 3.818836785250783739e-01
4.359375000000000333e-01 3.821205130213986001e-01
4.429687500000000222e-01 3.823614910258161803e-01
4.500000000000000111e-01 3.826066220434843901e-01
4.570312500000000000e-01 3.828559157249645795e-01
