# Time Energy
0.000000000000000000e+00 1.249967041409843216e-01
7.031250000000000173e-03 1.249934083332991663e-01
1.406250000000000035e-02 1.249901125446322425e-01
2.109375000000000139e-02 1.249868167410474878e-01
2.812500000000000069e-02 1.249835208886114629e-01
3.515625000000000000e-02 1.249802249533917553e-01
4.218750000000000278e-02 1.249769289014554530e-01
4.921874999999999861e-02 1.249736326988677704e-01
5.625000000000000139e-02 1.249703363116903831e-01
6.328124999999999722e-02 1.249670397059799570e-01
7.031250000000000000e-02 1.249637428477865519e-01
7.734375000000000278e-02 1.249604457031523175e-01
8.437500000000000555e-02 1.249571482381098414e-01
9.140625000000000833e-02 1.249538504186806231e-01
9.843749999999999722e-02 1.249505522108735889e-01
1.054687500000000000e-01 1.249472535806836898e-01
1.125000000000000028e-01 1.249439544940902369e-01
1.195312500000000056e-01 1.249406549170555547e-01
1.265624999999999944e-01 1.249373548155233160e-01
1.335937500000000111e-01 1.249340541554173067e-01
1.406250000000000000e-01 1.249307529026396774e-01
1.476562500000000167e-01 1.249274510230695412e-01
1.546875000000000056e-01 1.249241484825616144e-01
1.617187499999999944e-01 1.249208452469445507e-01
1.687500000000000111e-01 1.249175412820196229e-01
1.757812500000000000e-01 1.249142365535590715e-01
1.828125000000000167e-01 1.249109310273048834e-01
1.898437500000000056e-01 1.249076246689670572e-01
1.968749999999999944e-01 1.249043174442223958e-01
2.039062500000000111e-01 1.249010093187128412e-01
2.109375000000000000e-01 1.248977002580440310e-01
2.179687500000000167e-01 1.248943902277841189e-01
2.250000000000000056e-01 1.248910791934619569e-01
2.320312499999999944e-01 1.248877671205659429e-01
2.390625000000000111e-01 1.248844539745423698e-01
2.460937500000000000e-01 1.248811397207941765e-01
2.531249999999999889e-01 1.248778243246793096e-01
2.601562500000000333e-01 1.248745077515095447e-01
2.671875000000000222e-01 1.248711899665489039e-01
2.742187500000000111e-01 1.248678709350122401e-01
2.812500000000000000e-01 1.248645506220639606e-01
2.882812499999999889e-01 1.248612289928162644e-01
2.953125000000000333e-01 1.248579060123283235e-01
3.023437500000000222e-01 1.248545816456043955e-01
3.093750000000000111e-01 1.248512558575925468e-01
3.164062500000000000e-01 1.248479286131834731e-01
3.234374999999999889e-01 1.248445998772088339e-01
3.304687500000000333e-01 1.248412696144400036e-01
3.375000000000000222e-01 1.248379377895867393e-01
3.445312500000000111e-01 1.248346043672957512e-01
3.515625000000000000e-01 1.248312693121493705e-01
3.585937499999999889e-01 1.248279325886641755e-01
3.656250000000000333e-01 1.248245941612895760e-01
3.726562500000000222e-01 1.248212539944066751e-01
3.796875000000000111e-01 1.248179120523265906e-01
3.867187500000000000e-01 1.248145682992895800e-01
3.937499999999999889e-01 1.248112226994631674e-01
4.007812500000000333e-01 1.248078752169413108e-01
4.078125000000000222e-01 1.248045258157427506e-01
4.148437500000000111e-01 1.248011744598099271e-01
4.218750000000000000e-01 1.247978211130074122e-01
4.289062499999999889e-01 1.247944657391207857e-01
4.359375000000000333e-01 1.247911083018554412e-01
4.429687500000000222e-01 1.247877487648350048e-01
4.500000000000000111e-01 1.247843870916003073e-01
4.570312500000000000e-01 1.247810232456078583e-01
4.640624999999999889e-01 1.247776571902289300e-01
4.710937500000000333e-01 1.247742888887478641e-01
4.781250000000000222e-01 1.247709183043611281e-01
4.851562500000000111e-01 1.247675454001758583e-01
4.921875000000000000e-01 1.247641701392087771e-01
4.992187499999999889e-01 1.247607924843848748e-01
5.062499999999999778e-01 1.247574123985359801e-01
5.132812500000000222e-01 1.247540298443999274e-01
5.203125000000000666e-01 1.247506447846189054e-01
5.273437500000000000e-01 1.247472571817384995e-01
5.343750000000000444e-01 1.247438669982064707e-01
5.414062499999999778e-01 1.247404741963712704e-01
5.484375000000000222e-01 1.247370787384812219e-01
5.554687500000000666e-01 1.247336805866830212e-01
5.625000000000000000e-01 1.247302797030206967e-01
5.695312500000000444e-01 1.247268760494343598e-01
5.765624999999999778e-01 1.247234695877589283e-01
5.835937500000000222e-01 1.247200602797232105e-01
5.906250000000000666e-01 1.247166480869484062e-01
5.976562500000000000e-01 1.247132329709471493e-01
6.046875000000000444e-01 1.247098148931222172e-01
6.117187499999999778e-01 1.247063938147656148e-01
6.187500000000000222e-01 1.247029696970571033e-01
6.257812500000000666e-01 1.246995425010632014e-01
6.328125000000000000e-01 1.246961121877361023e-01
6.398437500000000444e-01 1.246926787179123974e-01
6.468749999999999778e-01 1.246892420523119660e-01
6.539062500000000222e-01 1.246858021515370452e-01
6.609375000000000666e-01 1.246823589760708284e-01
6.679687500000000000e-01 1.246789124862765774e-01
6.750000000000000444e-01 1.246754626423963452e-01
6.820312499999999778e-01 1.246720094045498800e-01
6.890625000000000222e-01 1.246685527327336673e-01
6.960937500000000666e-01 1.246650925868196536e-01
7.031250000000000000e-01 1.246616289265542882e-01
7.101562500000000444e-01 1.246581617115573720e-01
7.171874999999999778e-01 1.246546909013210164e-01
7.242187500000000222e-01 1.246512164552084634e-01
7.312500000000000666e-01 1.246477383324531840e-01
7.382812500000000000e-01 1.246442564921574764e-01
7.453125000000000444e-01 1.246407708932919245e-01
7.523437499999999778e-01 1.246372814946937746e-01
7.593750000000000222e-01 1.246337882550663523e-01
7.664062500000000666e-01 1.246302911329775776e-01
7.734375000000000000e-01 1.246267900868593403e-01
7.804687500000000444e-01 1.246232850750061405e-01
7.874999999999999778e-01 1.246197760555741718e-01
7.945312500000000222e-01 1.246162629865803090e-01
8.015625000000000666e-01 1.246127458259010112e-01
8.085937500000000000e-01 1.246092245312713093e-01
8.156250000000000444e-01 1.246056990602838060e-01
8.226562499999999778e-01 1.246021693703876221e-01
8.296875000000000222e-01 1.245986354188875073e-01
8.367187500000000666e-01 1.245950971629425780e-01
8.437500000000000000e-01 1.245915545595654705e-01
8.507812500000000444e-01 1.245880075656213282e-01
8.578124999999999778e-01 1.245844561378268572e-01
8.648437500000000222e-01 1.245809002327491338e-01
8.718750000000000666e-01 1.245773398068048127e-01
8.789062500000000000e-01 1.245737748162590031e-01
8.859375000000000444e-01 1.245702052172243113e-01
8.929687499999999778e-01 1.245666309656599802e-01
9.000000000000000222e-01 1.245630520173705985e-01
9.070312500000000666e-01 1.245594683280054904e-01
9.140625000000000000e-01 1.245558798530574524e-01
9.210937500000000444e-01 1.245522865478619901e-01
9.281249999999999778e-01 1.245486883675961387e-01
9.351562500000000222e-01 1.245450852672776859e-01
9.421875000000000666e-01 1.245414772017641170e-01
9.492187500000000000e-01 1.245378641257515462e-01
9.562500000000000444e-01 1.245342459937740370e-01
9.632812499999999778e-01 1.245306227602023252e-01
9.703125000000000222e-01 1.245269943792431805e-01
9.773437500000000666e-01 1.245233608049380741e-01
9.843750000000000000e-01 1.245197219911626241e-01
9.914062500000000444e-01 1.245160778916254013e-01
9.984374999999999778e-01 1.245124284598669862e-01
1.005468750000000133e+00 1.245087736492591635e-01
1.012499999999999956e+00 1.245051134130039650e-01
1.019531250000000000e+00 1.245014477041324480e-01
1.026562500000000044e+00 1.244977764755042793e-01
1.033593750000000089e+00 1.244940996798062638e-01
1.040625000000000133e+00 1.244904172695517758e-01
1.047656249999999956e+00 1.244867291970796763e-01
1.054687500000000000e+00 1.244830354145533280e-01
1.061718750000000044e+00 1.244793358739598871e-01
1.068750000000000089e+00 1.244756305271092212e-01
1.075781250000000133e+00 1.244719193256328543e-01
1.082812499999999956e+00 1.244682022209834538e-01
1.089843750000000000e+00 1.244644791644334975e-01
1.096875000000000044e+00 1.244607501070745526e-01
1.103906250000000089e+00 1.244570149998163594e-01
1.110937500000000133e+00 1.244532737933857630e-01
1.117968749999999956e+00 1.244495264383261163e-01
1.125000000000000000e+00 1.244457728849960587e-01
1.132031250000000044e+00 1.244420130835687671e-01
