# Time Energy
0.000000000000000000e+00 1.249983520612862747e-01
3.515625000000000087e-03 1.249967041397057332e-01
7.031250000000000173e-03 1.249950562313646985e-01
1.054687500000000069e-02 1.249934083320205502e-01
1.406250000000000035e-02 1.249917604374308766e-01
1.757812500000000000e-02 1.249901125433535154e-01
2.109375000000000139e-02 1.249884646455467208e-01
2.460937499999999931e-02 1.249868167397686636e-01
2.812500000000000069e-02 1.249851688217777923e-01
3.164062499999999861e-02 1.249835208873324999e-01
3.515625000000000000e-02 1.249818729321912625e-01
3.867187500000000139e-02 1.249802249521125841e-01
4.218750000000000278e-02 1.249785769428547882e-01
4.570312500000000416e-02 1.249769289001760875e-01
4.921874999999999861e-02 1.249752808198346388e-01
5.273437500000000000e-02 1.249736326975881967e-01
5.625000000000000139e-02 1.249719845291944464e-01
5.976562500000000278e-02 1.249703363104105597e-01
6.328124999999999722e-02 1.249686880369935138e-01
6.679687500000000555e-02 1.249670397046997866e-01
7.031250000000000000e-02 1.249653913092854673e-01
7.382812500000000833e-02 1.249637428465061040e-01
7.734375000000000278e-02 1.249620943121166616e-01
8.085937499999999722e-02 1.249604457018715920e-01
8.437500000000000555e-02 1.249587970115245694e-01
8.789062500000000000e-02 1.249571482368287412e-01
9.140625000000000833e-02 1.249554993735364078e-01
9.492187500000000278e-02 1.249538504173991205e-01
9.843749999999999722e-02 1.249522013641676671e-01
1.019531250000000056e-01 1.249505522095917254e-01
1.054687500000000000e-01 1.249489029494203485e-01
1.089843750000000083e-01 1.249472535794013961e-01
1.125000000000000028e-01 1.249456040952817981e-01
1.160156249999999972e-01 1.249439544928074852e-01
1.195312500000000056e-01 1.249423047677231668e-01
1.230468750000000000e-01 1.249406549157723312e-01
1.265624999999999944e-01 1.249390049326974256e-01
1.300781250000000167e-01 1.249373548142396345e-01
1.335937500000000111e-01 1.249357045561386714e-01
1.371093750000000056e-01 1.249340541541331118e-01
1.406250000000000000e-01 1.249324036039599906e-01
1.441406249999999944e-01 1.249307529013549134e-01
1.476562500000000167e-01 1.249291020420521259e-01
1.511718750000000111e-01 1.249274510217842360e-01
1.546875000000000056e-01 1.249257998362822836e-01
1.582031250000000000e-01 1.249241484812756986e-01
1.617187499999999944e-01 1.249224969524922457e-01
1.652343750000000167e-01 1.249208452456579826e-01
1.687500000000000111e-01 1.249191933564972323e-01
1.722656250000000056e-01 1.249175412807324165e-01
1.757812500000000000e-01 1.249158890140841804e-01
1.792968749999999944e-01 1.249142365522712128e-01
1.828125000000000167e-01 1.249125838910103148e-01
1.863281250000000111e-01 1.249109310260162475e-01
1.898437500000000056e-01 1.249092779530018293e-01
1.933593750000000000e-01 1.249076246676777135e-01
1.968749999999999944e-01 1.249059711657523886e-01
2.003906250000000167e-01 1.249043174429322611e-01
2.039062500000000111e-01 1.249026634949214482e-01
2.074218750000000056e-01 1.249010093174218183e-01
2.109375000000000000e-01 1.248993549061330061e-01
2.144531249999999944e-01 1.248977002567522032e-01
2.179687500000000167e-01 1.248960453649741731e-01
2.214843750000000111e-01 1.248943902264913752e-01
2.250000000000000056e-01 1.248927348369936602e-01
2.285156250000000000e-01 1.248910791921683527e-01
2.320312499999999944e-01 1.248894232877002242e-01
2.355468750000000167e-01 1.248877671192713812e-01
2.390625000000000111e-01 1.248861106825613354e-01
2.425781250000000056e-01 1.248844539732468228e-01
2.460937500000000000e-01 1.248827969870018595e-01
2.496093749999999944e-01 1.248811397194975747e-01
2.531249999999999889e-01 1.248794821664023780e-01
2.566406250000000111e-01 1.248778243233816809e-01
2.601562500000000333e-01 1.248761661860980088e-01
2.636718750000000000e-01 1.248745077502108614e-01
2.671875000000000222e-01 1.248728490113767131e-01
2.707031249999999889e-01 1.248711899652490548e-01
2.742187500000000111e-01 1.248695306074781575e-01
2.777343750000000333e-01 1.248678709337111975e-01
2.812500000000000000e-01 1.248662109395921177e-01
2.847656250000000222e-01 1.248645506207616551e-01
2.882812499999999889e-01 1.248628899728571884e-01
2.917968750000000111e-01 1.248612289915127793e-01
2.953125000000000333e-01 1.248595676723591175e-01
2.988281250000000000e-01 1.248579060110235062e-01
3.023437500000000222e-01 1.248562440031297516e-01
3.058593749999999889e-01 1.248545816442981626e-01
