# Time Enstrophy
0.000000000000000000e+00 3.749879487809282264e-01
1.406250000000000035e-02 3.749913432478705344e-01
2.812500000000000069e-02 3.750101810292917337e-01
4.218750000000000278e-02 3.750444625401773702e-01
5.625000000000000139e-02 3.750941909592266921e-01
7.031250000000000000e-02 3.751593722221950866e-01
8.437500000000000555e-02 3.752400150144765689e-01
9.843749999999999722e-02 3.753361307629361487e-01
1.125000000000000028e-01 3.754477336269985699e-01
1.265624999999999944e-01 3.755748404890074665e-01
1.406250000000000000e-01 3.757174709438650950e-01
1.546875000000000056e-01 3.758756472879700716e-01
1.687500000000000111e-01 3.760493945074665501e-01
1.828125000000000167e-01 3.762387402658252666e-01
1.968749999999999944e-01 3.764437148907729958e-01
2.109375000000000000e-01 3.766643513605931748e-01
2.250000000000000056e-01 3.769006852898192372e-01
2.390625000000000111e-01 3.771527549143433022e-01
2.531249999999999889e-01 3.774206010759655339e-01
2.671875000000000222e-01 3.777042672064099271e-01
2.812500000000000000e-01 3.780037993108326111e-01
2.953125000000000333e-01 3.783192459508515348e-01
3.093750000000000111e-01 3.786506582271259580e-01
3.234374999999999889e-01 3.789980897615132793e-01
3.375000000000000222e-01 3.793615966788380645e-01
3.515625000000000000e-01 3.797412375882985858e-01
3.656250000000000333e-01 3.801370735645470678e-01
3.796875000000000111e-01 3.805491681284722816e-01
3.937499999999999889e-01 3.809775872277181841e-01
4.078125000000000222e-01 3.814223992169720745e-01
4.218750000000000000e-01 3.818836748380525781e-01
4.359375000000000333e-01 3.823614871998313181e-01
4.500000000000000111e-01 3.828559117580226379e-01
4.640624999999999889e-01 3.833670262948712937e-01
4.781250000000000222e-01 3.838949108987722569e-01
4.921875000000000000e-01 3.844396479438543235e-01
5.062499999999999778e-01 3.850013220695592819e-01
5.203125000000000666e-01 3.855800201602476163e-01
5.343750000000000444e-01 3.861758313248622176e-01
5.484375000000000222e-01 3.867888468766794707e-01
5.625000000000000000e-01 3.874191603131765804e-01
5.765624999999999778e-01 3.880668672960450039e-01
5.906250000000000666e-01 3.887320656313765221e-01
6.046875000000000444e-01 3.894148552500492633e-01
6.187500000000000222e-01 3.901153381883375459e-01
6.328125000000000000e-01 3.908336185687737441e-01
6.468749999999999778e-01 3.915698025812802685e-01
6.609375000000000666e-01 3.923239984645993106e-01
6.750000000000000444e-01 3.930963164880362237e-01
6.890625000000000222e-01 3.938868689335399687e-01
7.031250000000000000e-01 3.946957700781353884e-01
7.171874999999999778e-01 3.955231361767261311e-01
7.312500000000000666e-01 3.963690854452834866e-01
7.453125000000000444e-01 3.972337380444317390e-01
7.593750000000000222e-01 3.981172160634469659e-01
7.734375000000000000e-01 3.990196435046751144e-01
7.874999999999999778e-01 3.999411462683809537e-01
8.015625000000000666e-01 4.008818521380346223e-01
8.156250000000000444e-01 4.018418907660414874e-01
8.296875000000000222e-01 4.028213936599180922e-01
8.437500000000000000e-01 4.038204941689187422e-01
8.578124999999999778e-01 4.048393274711115097e-01
8.718750000000000666e-01 4.058780305609037131e-01
8.859375000000000444e-01 4.069367422370141485e-01
9.000000000000000222e-01 4.080156030908872467e-01
9.140625000000000000e-01 4.091147554955441579e-01
9.281249999999999778e-01 4.102343435948632155e-01
9.421875000000000666e-01 4.113745132932797866e-01
9.562500000000000444e-01 4.125354122458965156e-01
9.703125000000000222e-01 4.137171898489906408e-01
9.843750000000000000e-01 4.149199972309064455e-01
9.984374999999999778e-01 4.161439872433145837e-01
