# Time Energy
0.000000000000000000e+00 1.249934083260356016e-01
1.406250000000000035e-02 1.249868167337875313e-01
2.812500000000000069e-02 1.249802249461346160e-01
4.218750000000000278e-02 1.249736326916127682e-01
5.625000000000000139e-02 1.249670396987262733e-01
7.031250000000000000e-02 1.249604456958994109e-01
8.437500000000000555e-02 1.249538504114277998e-01
9.843749999999999722e-02 1.249472535734303252e-01
1.125000000000000028e-01 1.249406549098010244e-01
1.265624999999999944e-01 1.249340541481610972e-01
1.406250000000000000e-01 1.249274510158111112e-01
1.546875000000000056e-01 1.249208452396834146e-01
1.687500000000000111e-01 1.249142365462947712e-01
1.828125000000000167e-01 1.249076246616992319e-01
1.968749999999999944e-01 1.249010093114411579e-01
2.109375000000000000e-01 1.248943902205084250e-01
2.250000000000000056e-01 1.248877671132860162e-01
2.390625000000000111e-01 1.248811397135099199e-01
2.531249999999999889e-01 1.248745077442209445e-01
2.671875000000000222e-01 1.248678709277193655e-01
2.812500000000000000e-01 1.248612289855191848e-01
2.953125000000000333e-01 1.248545816383033330e-01
3.093750000000000111e-01 1.248479286058788162e-01
3.234374999999999889e-01 1.248412696071320438e-01
3.375000000000000222e-01 1.248346043599850852e-01
3.515625000000000000e-01 1.248279325813512752e-01
3.656250000000000333e-01 1.248212539870922205e-01
3.796875000000000111e-01 1.248145682919744592e-01
3.937499999999999889e-01 1.248078752096263427e-01
4.078125000000000222e-01 1.248011744524960692e-01
4.218750000000000000e-01 1.247944657318091899e-01
4.359375000000000333e-01 1.247877487575268507e-01
4.500000000000000111e-01 1.247810232383044643e-01
4.640624999999999889e-01 1.247742888814506734e-01
4.781250000000000222e-01 1.247675453928863837e-01
4.921875000000000000e-01 1.247607924771047538e-01
5.062499999999999778e-01 1.247540298371309780e-01
5.203125000000000666e-01 1.247472571744825676e-01
5.343750000000000444e-01 1.247404741891303126e-01
5.484375000000000222e-01 1.247336805794592024e-01
5.625000000000000000e-01 1.247268760422298728e-01
5.765624999999999778e-01 1.247200602725403867e-01
5.906250000000000666e-01 1.247132329637883896e-01
6.046875000000000444e-01 1.247063938076336115e-01
6.187500000000000222e-01 1.246995424939605357e-01
6.328125000000000000e-01 1.246926787108418866e-01
6.468749999999999778e-01 1.246858021445016174e-01
6.609375000000000666e-01 1.246789124792792580e-01
6.750000000000000444e-01 1.246720093975937499e-01
6.890625000000000222e-01 1.246650925799079879e-01
7.031250000000000000e-01 1.246581617046936125e-01
7.171874999999999778e-01 1.246512164483959961e-01
7.312500000000000666e-01 1.246442564853999235e-01
7.453125000000000444e-01 1.246372814879947305e-01
7.593750000000000222e-01 1.246302911263408586e-01
7.734375000000000000e-01 1.246232850684356741e-01
7.874999999999999778e-01 1.246162629800801336e-01
8.015625000000000666e-01 1.246092245248455049e-01
8.156250000000000444e-01 1.246021693640404493e-01
8.296875000000000222e-01 1.245950971566782695e-01
8.437500000000000000e-01 1.245880075594443248e-01
8.578124999999999778e-01 1.245809002266639043e-01
8.718750000000000666e-01 1.245737748102701270e-01
8.859375000000000444e-01 1.245666309597721205e-01
9.000000000000000222e-01 1.245594683222234766e-01
9.140625000000000000e-01 1.245522865421906517e-01
9.281249999999999778e-01 1.245450852617219911e-01
9.421875000000000666e-01 1.245378641203164771e-01
9.562500000000000444e-01 1.245306227548930167e-01
9.703125000000000222e-01 1.245233607997596470e-01
9.843750000000000000e-01 1.245160778865831708e-01
9.984374999999999778e-01 1.245087736443584586e-01
1.012499999999999956e+00 1.245014476993786534e-01
1.026562500000000044e+00 1.244940996752048473e-01
1.040625000000000133e+00 1.244867291926361197e-01
1.054687500000000000e+00 1.244793358696798941e-01
1.068750000000000089e+00 1.244719193215220315e-01
1.082812499999999956e+00 1.244644791604975903e-01
1.096875000000000044e+00 1.244570149960610161e-01
1.110937500000000133e+00 1.244495264347572905e-01
1.125000000000000000e+00 1.244420130801923152e-01
1.139062500000000089e+00 1.244344745330040192e-01
1.153124999999999956e+00 1.244269103908333257e-01
1.167187500000000044e+00 1.244193202482952870e-01
1.181250000000000133e+00 1.244117036969502599e-01
1.195312500000000000e+00 1.244040603252753313e-01
1.209375000000000089e+00 1.243963897186356748e-01
1.223437499999999956e+00 1.243886914592559484e-01
1.237500000000000044e+00 1.243809651261922750e-01
1.251562500000000133e+00 1.243732102953036683e-01
1.265625000000000000e+00 1.243654265392239305e-01
1.279687500000000089e+00 1.243576134273337019e-01
1.293749999999999956e+00 1.243497705257324282e-01
1.307812500000000044e+00 1.243418973972106045e-01
1.321875000000000133e+00 1.243339936012219649e-01
1.335937500000000000e+00 1.243260586938560730e-01
1.350000000000000089e+00 1.243180922278106504e-01
1.364062499999999956e+00 1.243100937523643895e-01
1.378125000000000044e+00 1.243020628133498090e-01
1.392187500000000133e+00 1.242939989531259698e-01
1.406250000000000000e+00 1.242859017105518438e-01
1.420312500000000089e+00 1.242777706209595157e-01
1.434374999999999956e+00 1.242696052161274822e-01
1.448437500000000044e+00 1.242614050242544094e-01
1.462500000000000133e+00 1.242531695699328198e-01
1.476562500000000000e+00 1.242448983741232804e-01
1.490625000000000089e+00 1.242365909541282426e-01
1.504687499999999956e+00 1.242282468235667986e-01
1.518750000000000044e+00 1.242198654923490075e-01
1.532812500000000133e+00 1.242114464666509988e-01
1.546875000000000000e+00 1.242029892488898807e-01
1.560937500000000089e+00 1.241944933376992743e-01
1.574999999999999956e+00 1.241859582279045554e-01
1.589062500000000044e+00 1.241773834104993868e-01
1.603125000000000133e+00 1.241687683726212105e-01
1.617187500000000000e+00 1.241601125975282521e-01
1.631250000000000089e+00 1.241514155645758455e-01
1.645312499999999956e+00 1.241426767491941308e-01
1.659375000000000044e+00 1.241338956228649620e-01
1.673437500000000133e+00 1.241250716530998555e-01
1.687500000000000000e+00 1.241162043034183815e-01
1.701562500000000089e+00 1.241072930333263769e-01
1.715624999999999956e+00 1.240983372982949751e-01
1.729687500000000044e+00 1.240893365497399425e-01
1.743750000000000133e+00 1.240802902350013476e-01
1.757812500000000000e+00 1.240711977973235347e-01
1.771875000000000089e+00 1.240620586758358485e-01
1.785937499999999956e+00 1.240528723055334820e-01
1.800000000000000044e+00 1.240436381172588254e-01
1.814062500000000133e+00 1.240343555376834384e-01
1.828125000000000000e+00 1.240250239892903006e-01
1.842187500000000089e+00 1.240156428903565755e-01
1.856249999999999956e+00 1.240062116549367349e-01
1.870312500000000044e+00 1.239967296928464191e-01
1.884375000000000133e+00 1.239871964096466439e-01
1.898437500000000000e+00 1.239776112066282854e-01
1.912500000000000089e+00 1.239679734807973693e-01
1.926562499999999956e+00 1.239582826248606245e-01
1.940625000000000044e+00 1.239485380272116744e-01
1.954687500000000133e+00 1.239387390719175613e-01
1.968750000000000000e+00 1.239288851387057994e-01
