# Time Energy
0.000000000000000000e+00 1.249991760280707576e-01
1.757812500000000043e-03 1.249983520609898036e-01
3.515625000000000087e-03 1.249975280982793951e-01
5.273437500000000347e-03 1.249967041394092204e-01
7.031250000000000173e-03 1.249958801838489258e-01
8.789062500000000000e-03 1.249950562310681440e-01
1.054687500000000069e-02 1.249942322805365769e-01
1.230468749999999965e-02 1.249934083317239542e-01
1.406250000000000035e-02 1.249925843840999362e-01
1.582031249999999931e-02 1.249917604371342389e-01
1.757812500000000000e-02 1.249909364902966336e-01
1.933593750000000069e-02 1.249901125430569332e-01
2.109375000000000139e-02 1.249892885948848398e-01
2.285156250000000208e-02 1.249884646452501247e-01
2.460937499999999931e-02 1.249876406936225592e-01
2.636718750000000000e-02 1.249868167394720259e-01
2.812500000000000069e-02 1.249859927822682959e-01
2.988281250000000139e-02 1.249851688214811407e-01
3.164062499999999861e-02 1.249843448565803733e-01
3.339843750000000278e-02 1.249835208870357928e-01
3.515625000000000000e-02 1.249826969123172538e-01
3.691406250000000416e-02 1.249818729318945554e-01
3.867187500000000139e-02 1.249810489452374829e-01
4.042968749999999861e-02 1.249802249518158770e-01
4.218750000000000278e-02 1.249794009510994675e-01
4.394531250000000000e-02 1.249785769425580673e-01
4.570312500000000416e-02 1.249777529256614200e-01
4.746093750000000139e-02 1.249769288998793804e-01
4.921874999999999861e-02 1.249761048646815947e-01
5.097656250000000278e-02 1.249752808195379039e-01
5.273437500000000000e-02 1.249744567639179682e-01
5.449218750000000416e-02 1.249736326972914896e-01
5.625000000000000139e-02 1.249728086191282395e-01
5.800781249999999861e-02 1.249719845288977393e-01
5.976562500000000278e-02 1.249711604260697329e-01
6.152343750000000000e-02 1.249703363101138387e-01
6.328124999999999722e-02 1.249695121804996895e-01
6.503906250000000833e-02 1.249686880366967928e-01
6.679687500000000555e-02 1.249678638781747814e-01
6.855468750000000278e-02 1.249670397044030934e-01
7.031250000000000000e-02 1.249662155148512505e-01
7.207031249999999722e-02 1.249653913089887325e-01
7.382812500000000833e-02 1.249645670862849778e-01
7.558593750000000555e-02 1.249637428462093552e-01
7.734375000000000278e-02 1.249629185882312060e-01
7.910156250000000000e-02 1.249620943118198713e-01
8.085937499999999722e-02 1.249612700164446366e-01
8.261718750000000833e-02 1.249604457015747461e-01
8.437500000000000555e-02 1.249596213666793743e-01
8.613281250000000278e-02 1.249587970112276819e-01
8.789062500000000000e-02 1.249579726346888575e-01
8.964843749999999722e-02 1.249571482365318259e-01
9.140625000000000833e-02 1.249563238162257339e-01
9.316406250000000555e-02 1.249554993732394925e-01
9.492187500000000278e-02 1.249546749070420404e-01
9.667968750000000000e-02 1.249538504171022330e-01
9.843749999999999722e-02 1.249530259028888424e-01
1.001953125000000083e-01 1.249522013638706547e-01
1.019531250000000056e-01 1.249513767995164004e-01
1.037109375000000028e-01 1.249505522092947268e-01
1.054687500000000000e-01 1.249497275926741841e-01
1.072265624999999972e-01 1.249489029491232805e-01
1.089843750000000083e-01 1.249480782781105526e-01
1.107421875000000056e-01 1.249472535791043698e-01
1.125000000000000028e-01 1.249464288515730326e-01
1.142578125000000000e-01 1.249456040949847857e-01
1.160156249999999972e-01 1.249447793088078740e-01
1.177734375000000083e-01 1.249439544925104312e-01
1.195312500000000056e-01 1.249431296455604523e-01
1.212890625000000028e-01 1.249423047674260157e-01
1.230468750000000000e-01 1.249414798575749774e-01
1.248046874999999972e-01 1.249406549154751661e-01
1.265624999999999944e-01 1.249398299405943547e-01
1.283203125000000056e-01 1.249390049324002328e-01
1.300781250000000167e-01 1.249381798903603791e-01
1.318359375000000000e-01 1.249373548139423723e-01
1.335937500000000111e-01 1.249365297026135829e-01
1.353515624999999944e-01 1.249357045558413815e-01
1.371093750000000056e-01 1.249348793730930274e-01
1.388671875000000167e-01 1.249340541538357385e-01
1.406250000000000000e-01 1.249332288975365801e-01
1.423828125000000111e-01 1.249324036036625896e-01
1.441406249999999944e-01 1.249315782716806378e-01
1.458984375000000056e-01 1.249307529010575540e-01
1.476562500000000167e-01 1.249299274912599872e-01
1.494140625000000000e-01 1.249291020417546832e-01
1.511718750000000111e-01 1.249282765520081384e-01
1.529296874999999944e-01 1.249274510214867379e-01
1.546875000000000056e-01 1.249266254496568807e-01
1.564453125000000167e-01 1.249257998359847854e-01
1.582031250000000000e-01 1.249249741799365043e-01
1.599609375000000111e-01 1.249241484809781033e-01
1.617187499999999944e-01 1.249233227385755929e-01
1.634765625000000056e-01 1.249224969521946366e-01
1.652343750000000167e-01 1.249216711213010089e-01
1.669921875000000000e-01 1.249208452453603457e-01
1.687500000000000111e-01 1.249200193238380330e-01
1.705078124999999944e-01 1.249191933561995538e-01
1.722656250000000056e-01 1.249183673419100582e-01
1.740234375000000167e-01 1.249175412804346685e-01
1.757812500000000000e-01 1.249167151712384655e-01
1.775390625000000111e-01 1.249158890137863492e-01
1.792968749999999944e-01 1.249150628075430675e-01
1.810546875000000056e-01 1.249142365519733122e-01
1.828125000000000167e-01 1.249134102465416229e-01
1.845703125000000000e-01 1.249125838907123309e-01
1.863281250000000111e-01 1.249117574839498368e-01
1.880859374999999944e-01 1.249109310257182082e-01
1.898437500000000056e-01 1.249101045154815265e-01
1.916015625000000167e-01 1.249092779527036512e-01
1.933593750000000000e-01 1.249084513368484139e-01
1.951171875000000111e-01 1.249076246673794521e-01
1.968749999999999944e-01 1.249067979437601950e-01
1.986328125000000056e-01 1.249059711654540439e-01
2.003906250000000167e-01 1.249051443319242477e-01
2.021484375000000000e-01 1.249043174426338332e-01
2.039062500000000111e-01 1.249034904970458271e-01
2.056640624999999944e-01 1.249026634946229508e-01
2.074218750000000056e-01 1.249018364348279259e-01
2.091796875000000167e-01 1.249010093171233071e-01
2.109375000000000000e-01 1.249001821409713719e-01
2.126953125000000111e-01 1.248993549058343838e-01
2.144531249999999944e-01 1.248985276111744258e-01
2.162109375000000056e-01 1.248977002564534422e-01
