# Time Enstrophy
0.000000000000000000e+00 3.749976487817593407e-01
1.757812500000000043e-03 3.749955389661318028e-01
3.515625000000000087e-03 3.749936705415630733e-01
5.273437500000000347e-03 3.749920434970189786e-01
7.031250000000000173e-03 3.749906578221435249e-01
8.789062500000000000e-03 3.749895135072586205e-01
1.054687500000000069e-02 3.749886105433638539e-01
1.230468749999999965e-02 3.749879489221371598e-01
1.406250000000000035e-02 3.749875286359333204e-01
1.582031249999999931e-02 3.749873496777851312e-01
1.757812500000000000e-02 3.749874120414022904e-01
1.933593750000000069e-02 3.749877157211721768e-01
2.109375000000000139e-02 3.749882607121585165e-01
2.285156250000000208e-02 3.749890470101023832e-01
2.460937499999999931e-02 3.749900746114211980e-01
2.636718750000000000e-02 3.749913435132093964e-01
2.812500000000000069e-02 3.749928537132374284e-01
2.988281250000000139e-02 3.749946052099519256e-01
3.164062499999999861e-02 3.749965980024756451e-01
3.339843750000000278e-02 3.749988320906072481e-01
3.515625000000000000e-02 3.750013074748210773e-01
3.691406250000000416e-02 3.750040241562668797e-01
3.867187500000000139e-02 3.750069821367698619e-01
4.042968749999999861e-02 3.750101814188303573e-01
4.218750000000000278e-02 3.750136220056234926e-01
4.394531250000000000e-02 3.750173039009992992e-01
4.570312500000000416e-02 3.750212271094822691e-01
4.746093750000000139e-02 3.750253916362715767e-01
4.921874999999999861e-02 3.750297974872400797e-01
5.097656250000000278e-02 3.750344446689352074e-01
5.273437500000000000e-02 3.750393331885775172e-01
5.449218750000000416e-02 3.750444630540616386e-01
5.625000000000000139e-02 3.750498342739554403e-01
5.800781249999999861e-02 3.750554468574995304e-01
5.976562500000000278e-02 3.750613008146079230e-01
6.152343750000000000e-02 3.750673961558673719e-01
6.328124999999999722e-02 3.750737328925367597e-01
6.503906250000000833e-02 3.750803110365472648e-01
6.679687500000000555e-02 3.750871306005025829e-01
6.855468750000000278e-02 3.750941915976774843e-01
7.031250000000000000e-02 3.751014940420187571e-01
7.207031249999999722e-02 3.751090379481444304e-01
7.382812500000000833e-02 3.751168233313437739e-01
7.558593750000000555e-02 3.751248502075766877e-01
7.734375000000000278e-02 3.751331185934735357e-01
7.910156250000000000e-02 3.751416285063354228e-01
8.085937499999999722e-02 3.751503799641332515e-01
8.261718750000000833e-02 3.751593729855079995e-01
8.437500000000000555e-02 3.751686075897700534e-01
8.613281250000000278e-02 3.751780837968993199e-01
8.789062500000000000e-02 3.751878016275446148e-01
8.964843749999999722e-02 3.751977611030234971e-01
9.140625000000000833e-02 3.752079622453223240e-01
9.316406250000000555e-02 3.752184050770956403e-01
9.492187500000000278e-02 3.752290896216657901e-01
9.667968750000000000e-02 3.752400159030230276e-01
9.843749999999999722e-02 3.752511839458247955e-01
1.001953125000000083e-01 3.752625937753961138e-01
1.019531250000000056e-01 3.752742454177286913e-01
1.037109375000000028e-01 3.752861388994807035e-01
1.054687500000000000e-01 3.752982742479766820e-01
1.072265624999999972e-01 3.753106514912071257e-01
1.089843750000000083e-01 3.753232706578283340e-01
