# Time Energy
0.000000000000000000e+00 1.249868163958839096e-01
2.812500000000000069e-02 1.249736323537871396e-01
5.625000000000000139e-02 1.249604453580339947e-01
8.437500000000000555e-02 1.249472532354096721e-01
1.125000000000000028e-01 1.249340538098731579e-01
1.406250000000000000e-01 1.249208449010206085e-01
1.687500000000000111e-01 1.249076243225595712e-01
1.968749999999999944e-01 1.248943898807962777e-01
2.250000000000000056e-01 1.248811393731372038e-01
2.531249999999999889e-01 1.248678705866062277e-01
2.812500000000000000e-01 1.248545812963791635e-01
3.093750000000000111e-01 1.248412692643359745e-01
3.375000000000000222e-01 1.248279322376329437e-01
3.656250000000000333e-01 1.248145679472945913e-01
3.937499999999999889e-01 1.248011741068269786e-01
4.218750000000000000e-01 1.247877484108526891e-01
4.500000000000000111e-01 1.247742885337678742e-01
4.781250000000000222e-01 1.247607921284223376e-01
5.062499999999999778e-01 1.247472568248219893e-01
5.343750000000000444e-01 1.247336802288547819e-01
5.625000000000000000e-01 1.247200599210389338e-01
5.906250000000000666e-01 1.247063934552945785e-01
6.187500000000000222e-01 1.246926783577370079e-01
6.468749999999999778e-01 1.246789121254924249e-01
6.750000000000000444e-01 1.246650922255347349e-01
7.031250000000000000e-01 1.246512160935433766e-01
7.312500000000000666e-01 1.246372811327804975e-01
7.593750000000000222e-01 1.246232847129880028e-01
7.874999999999999778e-01 1.246092241693023406e-01
8.156250000000000444e-01 1.245950968011866195e-01
8.437500000000000000e-01 1.245808998713791860e-01
8.718750000000000666e-01 1.245666306048573840e-01
9.000000000000000222e-01 1.245522861878158305e-01
9.281249999999999778e-01 1.245378637666573751e-01
9.562500000000000444e-01 1.245233604469971750e-01
9.843750000000000000e-01 1.245087732926776491e-01
1.012499999999999956e+00 1.244940993247938416e-01
1.040625000000000133e+00 1.244793355207288732e-01
1.068750000000000089e+00 1.244644788131979152e-01
1.096875000000000044e+00 1.244495260893002386e-01
1.125000000000000000e+00 1.244344741895797024e-01
1.153124999999999956e+00 1.244193199070915135e-01
1.181250000000000133e+00 1.244040599864768004e-01
1.209375000000000089e+00 1.243886911230429881e-01
1.237500000000000044e+00 1.243732099618517217e-01
1.265625000000000000e+00 1.243576130968128274e-01
1.293749999999999956e+00 1.243418970697858783e-01
1.321875000000000133e+00 1.243260583696888383e-01
1.350000000000000089e+00 1.243100934316152539e-01
1.378125000000000044e+00 1.242939986359603011e-01
1.406250000000000000e+00 1.242777703075570589e-01
1.434374999999999956e+00 1.242614047148246081e-01
1.462500000000000133e+00 1.242448980689294380e-01
1.490625000000000089e+00 1.242282465229625626e-01
1.518750000000000044e+00 1.242114461711343598e-01
1.546875000000000000e+00 1.241944930479907672e-01
1.574999999999999956e+00 1.241773831276534873e-01
1.603125000000000133e+00 1.241601123230885451e-01
1.631250000000000089e+00 1.241426764854073883e-01
1.659375000000000044e+00 1.241250714032046260e-01
1.687500000000000000e+00 1.241072928019387595e-01
1.715624999999999956e+00 1.240893363433602514e-01
